"만 0~6세
12,5,사진 속 얼굴 가리키기,"가족사진을 보여주며 ""할머니 어디있어?""라고 묻고 아이가 손가락으로 가리키면 함께 그 사람의 이름을 말한다.","친밀한 사람들에 대한 인식과 기억을 강화하고, 공동 주의를 통한 사회적 연결감을 형성한다.",사회성,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,,"Tomasello, Bates, Bruner, Fenson 등 — 발달심리학·언어획득 분야 핵심 학술 문헌"
12,7,인형 안아주기 놀이,"인형을 울리는 척하며 ""인형이 속상하대, 안아줄까?"" 하고 아이가 인형을 안거나 쓰다듬도록 유도한다.","타인의 감정에 반응하는 공감 능력의 초기 형태를 자극하고, 위로 행동의 사회적 의미를 학습시킨다.",사회성,"Zahn-Waxler, C., & Radke-Yarrow, M. (1990). The origins of empathic concern. Motivation and Emotion, 14(2), 107–130.",,,,
12,8,함께 책장 넘기기,"그림책을 펼쳐두고 아이가 책장을 넘기면 부모가 그림에 대해 반응한다. 아이가 그림을 가리키면 ""맞아, OO이네!"" 하며 호응한다.","공동 주의 집중 능력을 강화하고, 아이의 관심을 부모가 공유함으로써 상호작용의 즐거움과 신뢰감을 형성한다.",사회성,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
12,5,이름 부르기,"아이 이름을 부르며 눈을 맞추고, 아이가 ""응~"" 또는 옹알이로 반응하면 ""맞아, OO야!"" 하며 크게 호응한다. 3~5회 반복한다.","자신의 이름을 사회적 신호로 인식하게 하고, 이름-반응 연결을 통해 언어 이해의 기초를 다진다.",언어,American Academy of Pediatrics. (2023). Language Development: 1 Year Olds. healthychildren.org,,,,
12,5,마마·빠빠 연습,"부모가 먼저 ""마마"", ""빠빠""를 천천히 말하며 아이가 따라 하도록 유도한다. 아이가 비슷한 소리를 내면 즉시 밝게 반응해준다.","의미 있는 첫 단어 발화를 촉진하고, 특정 소리와 대상(부모)을 연결하는 언어 발달의 핵심 단계를 지원한다.",언어,"Fenson, L. et al. (2007). MacArthur-Bates Communicative Development Inventories, 2nd ed. Brookes Publishing.",,,,
12,5,안녕 말하기,"방을 나갈 때마다 손을 흔들며 ""안녕~""이라고 말하고 아이가 따라 말하도록 기다린다. 돌아올 때는 ""다녀왔어~""를 추가한다.","상황에 맞는 첫 사회적 언어 표현을 학습하고, 몸짓과 말을 함께 연결하는 능력을 키운다.",언어,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,7,안돼 경계 연습,"아이가 만지면 안 되는 물건을 집으려 할 때 ""안돼""라고 차분하게 말하고 아이가 멈추면 ""잘했어!"" 하며 크게 칭찬한다.","""안돼"" 같은 금지어를 상황 맥락으로 이해하게 하고, 언어 지시에 따라 행동을 조절하는 능력을 형성한다.",언어,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,5,그림책 단어 짚기,"그림책을 펼쳐 ""강아지 어딨어?"" 하고 물은 뒤 아이가 손가락으로 가리키면 ""맞아, 강아지야~""라고 말해준다. 3~4개 단어 반복.","단어와 사물의 연결(어휘 매핑)을 훈련하고, 질문-응답 구조를 통해 초기 언어 이해력을 키운다.",언어,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
12,5,동물 소리 따라하기,"강아지·고양이·소 그림을 보여주며 ""멍멍"", ""야옹"", ""음메"" 소리를 내고 아이가 따라 하면 해당 그림을 손으로 짚어준다.","소리와 의미를 연결하는 음성 상징 학습을 촉진하고, 발성 모방 능력을 통해 초기 단어 발화를 준비시킨다.",언어,"Tomasello, M. (2003). Constructing a Language. Harvard University Press.",,,,
12,7,신체 부위 이름 대기,"""코 어딨어?"", ""눈 어딨어?"" 하고 물어보고 아이가 자기 신체를 짚으면 ""맞아, 코야!"" 하고 반복해서 말해준다.","신체 부위 명칭을 언어로 내재화하고, 언어 지시에 따라 행동하는 수용 언어 능력을 발달시킨다.",언어,American Speech-Language-Hearing Association (ASHA). (2024). Receptive Language Development in Toddlers. asha.org,,,,
12,5,원해요 표현 유도,"아이가 좋아하는 간식을 보여주며 손을 내밀고 기다린다. 아이가 소리를 내거나 손짓을 하면 ""줄까?"" 하고 말하며 건네준다.","필요를 소리나 몸짓으로 표현하는 의사소통 의도를 강화하고, 요청 표현의 기초를 형성한다.",언어,"Bruner, J. (1983). Child's Talk: Learning to Use Language. Oxford University Press.",,,,
12,6,간단한 지시 따르기,"""공 가져와"", ""책 여기 줘""처럼 한 단어·두 단어 지시를 내리고 아이가 수행하면 ""잘했어!"" 하며 크게 칭찬한다.","단어 수준의 지시를 이해하고 행동으로 연결하는 수용 언어 능력을 키우고, 언어와 행동의 연결 고리를 형성한다.",언어,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,8,노래 속 빈칸 채우기,"""곰 세 마리~"" 같은 익숙한 동요를 부르다가 마지막 단어 직전에 멈추고 아이가 소리를 낼 때까지 기다린다.","예측 가능한 언어 패턴 안에서 자발적 발화를 유도하고, 노래를 통한 음운 인식과 발화 타이밍 감각을 키운다.",언어,"Hallam, S. (2010). The power of music. International Journal of Music Education, 28(3), 269–289.",,,,
12,7,컵에 블록 넣기,블록과 컵을 아이 앞에 놓고 '블록을 컵에 넣어볼까?'라고 말하며 시범을 보인다. 아이가 넣으면 '넣었다!'라고 말하며 크게 칭찬한다. 3~5회 반복한다.,"용기에 물체를 담는 인과관계를 학습하고, 목표 지향적 행동과 손-눈 협응을 통한 문제 해결 능력의 기초를 형성한다.",인지,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,5,담요 속 장난감 찾기,아이가 보는 앞에서 좋아하는 장난감을 담요 밑에 숨기고 '장난감 어디 갔지?'라고 묻는다. 아이가 담요를 들추면 '찾았다!'라고 함께 기뻐한다.,"대상 영속성 개념을 강화하고, 보이지 않는 것을 기억하고 탐색하는 표상적 사고의 기초를 발달시킨다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
12,6,어디 숨었나 두 곳 찾기,"장난감을 아이가 보는 앞에서 방석 A 밑에 숨겼다가, 다시 방석 B 밑으로 옮겨 숨긴다. 아이가 B를 찾으면 성공. 틀려도 B로 유도한다.","이동된 대상을 추적하는 고차원적 대상 영속성을 훈련하고, 기억과 추론을 결합한 초기 문제 해결 능력을 키운다.",인지,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,,
12,5,쌓기와 무너뜨리기,블록을 2~3개 쌓은 뒤 아이에게 무너뜨리게 한다. 다시 부모가 쌓고 아이가 무너뜨리기를 반복한다. 쌓는 것도 함께 시도한다.,"인과관계(쌓으면 무너진다)를 신체 경험으로 학습하고, 행동의 결과를 예측하는 초기 논리 사고를 자극한다.",인지,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,7,큰 것 작은 것 비교,"같은 종류의 크고 작은 물건(컵, 공 등) 두 개를 나란히 놓고 '이게 크다', '이게 작다'라고 말하며 번갈아 가리킨다. 아이가 가리키면 반응해준다.","크기 개념의 초기 인식을 형성하고, 두 대상을 비교하는 초기 분류·범주화 사고 능력을 발달시킨다.",인지,"Bates, E. et al. (1979). The Emergence of Symbols. Academic Press.",,,,
12,6,도구 사용 흉내내기,숟가락으로 그릇을 젓는 시범을 보인 뒤 아이에게 건넨다. 아이가 따라 하면 '잘한다~'라고 반응한다. 빗으로 머리 빗기도 시도한다.,"도구의 용도를 이해하는 기능적 사물 인식 능력을 키우고, 목적에 맞는 행동 계획 능력의 기초를 형성한다.",인지,"Tomasello, M. (2003). Constructing a Language. Harvard University Press.",,,,
12,5,같은 것 짝 맞추기,"같은 그림이나 모양의 물건 쌍을 두 개씩 준비해 하나를 보여주며 '이거랑 같은 거 어딨어?'라고 묻는다. 아이가 고르면 '맞아, 똑같다!'라고 한다.","동일성 인식과 초기 분류 능력을 자극하고, 비교·대응의 논리적 사고 기반을 마련한다.",인지,"Hay, D. F. (1979). Cooperative interactions between very young children. Child Development, 50(1), 246–252.",,,,
12,7,뚜껑 열고 닫기,여러 크기의 통과 뚜껑을 섞어 놓고 맞는 뚜껑을 찾아 닫도록 유도한다. 처음엔 2개 세트로 시작해 점차 늘린다.,"크기와 형태의 대응 관계를 파악하는 공간 추론 능력을 키우고, 시행착오를 통한 문제 해결 전략을 학습시킨다.",인지,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,,
12,6,물건 꺼내고 다시 넣기,상자에 물건 5개를 넣어두고 하나씩 꺼내도록 유도한다. 다 꺼내면 다시 넣도록 '이제 다시 넣어볼까?'라고 유도한다.,"넣기·꺼내기의 가역적 행동을 이해하고, 수량 감각과 목표 지향적 행동의 지속성을 훈련한다.",인지,"Zahn-Waxler, C., & Radke-Yarrow, M. (1990). The origins of empathic concern. Motivation and Emotion, 14(2), 107–130.",,,,
12,8,어떻게 작동하나 탐색,"버튼을 누르면 소리 나는 장난감을 보여주고 시범을 보인다. 아이 스스로 버튼을 눌러 소리를 내도록 기다리고, 성공하면 함께 기뻐한다.","행동-결과의 인과 관계를 직접 경험으로 학습하고, 스스로 탐색하고 해결하는 자기 주도적 문제 해결 동기를 형성한다.",인지,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
12,7,소파 잡고 일어서기,"아이 옆에 소파나 낮은 테이블을 두고 '일어나볼까?' 하며 부모가 양손을 내민다. 아이 스스로 가구를 잡고 일어서면 '우와, 일어섰다!'라고 크게 칭찬한다. 3회 반복한다.","하지 근력과 균형 감각을 강화하고, 스스로 체중을 지탱하는 직립 보행의 기초 근력을 발달시킨다.",신체 발달,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,7,가구 잡고 옆으로 걷기,소파나 낮은 테이블 끝에 아이가 좋아하는 장난감을 놓아두고 가구를 잡은 채 옆으로 이동해 장난감을 집도록 유도한다. 거리를 점차 늘린다.,"측면 보행을 통해 균형 감각과 하체 협응력을 키우고, 독립 보행을 위한 근육과 자신감을 동시에 발달시킨다.",신체 발달,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,5,컵으로 물 마시기,뚜껑 없는 아기 컵에 물을 조금 담아 아이가 두 손으로 잡도록 도와준다. 부모가 함께 컵을 잡아주며 기울여 마시는 동작을 유도한다. 흘려도 괜찮다고 말해준다.,"양손 협응과 손목 조절 능력을 훈련하고, 스스로 마시는 자기 조절 능력과 독립심의 기초를 형성한다.",신체 발달,American Academy of Pediatrics. (2023). Feeding & Nutrition: Your 1-Year-Old. healthychildren.org,,,,
12,6,핀셋 잡기 연습,뻥튀기나 작은 과자 조각을 바닥에 5~6개 흩어 놓고 아이가 엄지와 검지로 집어 그릇에 넣도록 유도한다. 집을 때마다 '집었다!' 하며 반응한다.,"핀셋 파지 능력을 강화하고, 소근육 정밀 조절과 눈-손 협응력을 발달시킨다.",신체 발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
12,7,공 향해 걸어가기,부모가 1~2m 앞에 앉아 공을 보여주며 '이리 와보자'라고 부른다. 아이가 붙잡지 않고 몇 걸음이라도 걸어오면 크게 칭찬하고 안아준다.,"독립 보행의 동기를 자극하고, 균형 감각과 보행 자신감을 키우는 핵심 대근육 발달 훈련이다.",신체 발달,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,6,장난감 밀며 걷기,밀 수 있는 장난감 카트나 의자를 잡고 앞으로 밀며 걷도록 유도한다. 부모가 뒤에서 따라가며 넘어지지 않도록 지켜본다.,"보행 시 균형 유지 능력과 방향 전환 감각을 키우고, 독립 보행 전 단계의 대근육 협응력을 발달시킨다.",신체 발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
12,5,물건 집어 건네기,바닥에 앉은 아이 앞에 블록이나 작은 공을 놓고 '이거 엄마한테 줄 수 있어?'라고 말한다. 아이가 집어서 건네면 '고마워!' 하며 다시 돌려준다. 5회 반복한다.,앉은 자세에서 물건을 집어 전달하는 동작으로 소근육 파지력과 팔 뻗기 협응 능력을 함께 훈련한다.,신체 발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
12,7,계단 한 칸 오르기,낮은 계단(10~15cm) 앞에 아이를 세우고 부모가 손을 잡아준다. '올라가보자' 하며 한 발씩 올라가도록 돕는다. 내려올 때도 함께 잡아준다.,"계단 오르기에 필요한 교대 하지 근력과 균형 감각을 훈련하고, 높낮이 공간 지각 능력을 발달시킨다.",신체 발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
12,5,스티커 떼어 붙이기,큰 스티커를 종이에 붙여두고 아이가 손가락으로 떼어내도록 유도한다. 떼어낸 스티커를 다른 종이에 다시 붙여본다.,"손가락 끝의 촉각 감각과 소근육 정밀 제어 능력을 강화하고, 손가락 독립성의 기초를 형성한다.",신체 발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
12,6,낮은 장애물 넘기,돌돌 만 담요나 낮은 쿠션을 바닥에 놓고 아이가 붙잡거나 기어서 넘어가도록 유도한다. 넘어가면 '넘었다!'라고 크게 반응한다.,"장애물을 인식하고 신체로 극복하는 공간 지각 능력과 대근육 협응력을 키우고, 도전에 대한 긍정적 반응을 형성한다.",신체 발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
,,,,,,,,,,
15,7,장난감 꺼내기 따라하기,"부모가 먼저 바구니에서 블록을 하나씩 꺼내며 '꺼냈다!'라고 말한다. 아이에게 바구니를 건네고 똑같이 해보도록 유도한다. 아이가 따라 하면 '맞아, OO도 꺼냈네!'라고 반응한다.","타인의 행동을 관찰하고 모방하는 사회적 학습 능력을 강화하고, 또래 놀이의 기초가 되는 모방 동기를 발달시킨다.",사회성,"Meltzoff, A. N. (1988). Infant imitation and memory. Child Development, 59(1), 217–225.",,,,
15,5,좋아하는 것 보여주기,"아이가 좋아하는 장난감을 들고 부모에게 가져오면 '와, 이거 좋아해? 보여줘서 고마워!'라고 반응한다. 반대로 부모도 물건을 들고 '엄마가 좋아하는 거야, 봐봐~' 하며 보여준다.","자신의 관심사를 타인과 공유하려는 사회적 참조 능력을 키우고, 공동 주의와 정서 공유의 기반을 형성한다.",사회성,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,,
15,5,신나면 박수치기,"좋아하는 노래를 틀거나 신나는 상황을 만들어 '신난다~!' 하며 부모가 먼저 손뼉을 친다. 아이가 따라 치면 '맞아, 신나면 짝짝!'이라고 감정 이름을 붙여준다.","긍정적 감정을 신체로 표현하는 능력을 강화하고, 감정과 행동을 연결하는 정서 인식의 초기 단계를 발달시킨다.",사회성,CDC. (2023). Developmental Milestones: 15 Months. cdc.gov/ncbddd/actearly,,,,
15,6,인형 안아주기 놀이 심화,봉제 인형을 아이에게 건네며 '꼭 안아줄까?'라고 묻는다. 아이가 안으면 '인형이 좋겠다~'라고 말해준다. 이번엔 인형이 슬픈 척하며 '위로해줄 수 있어?'라고 유도한다.,애착 대상을 향한 위로와 보살핌 행동을 연습하며 공감 능력과 친사회적 행동의 기초를 형성한다.,사회성,"Zahn-Waxler, C., & Radke-Yarrow, M. (1990). The origins of empathic concern. Motivation and Emotion, 14(2), 107–130.",,,,
15,5,뽀뽀·포옹 교환하기,"부모가 먼저 '엄마한테 뽀뽀해줄래?'라고 요청한다. 아이가 뽀뽀하면 '고마워, 이번엔 엄마가 해줄게~'라며 포옹과 뽀뽀를 돌아가며 주고받는다.","애정 표현을 주고받는 상호적 경험을 통해 친밀감과 정서적 유대감을 강화하고, 사회적 애정 표현의 규범을 학습한다.",사회성,"Ainsworth, M. D. S. (1978). Patterns of Attachment. Erlbaum.",,,,
15,7,감정 상황 그림책 보기,표정이 큼직하게 나온 그림책을 펼치며 '이 아이 기분이 어때 보여?'라고 묻는다. 부모가 먼저 '기쁜 것 같다~' 하며 표정을 따라 지어 보인다. 아이도 따라 짓도록 유도한다.,"그림 속 타인의 감정을 인식하고 공감하는 능력을 키우고, 다양한 감정 어휘의 초기 인식 기반을 형성한다.",사회성,"Denham, S. A. (1998). Emotional Development in Young Children. Guilford Press.",,,,
15,6,나눠 먹기 연습,"과자 두 개를 꺼내 하나는 아이에게, 하나는 부모가 갖는다. '하나는 OO꺼, 하나는 엄마꺼'라고 말하며 함께 먹는다. 아이가 자발적으로 건네면 크게 칭찬한다.","소유와 나눔의 개념을 경험하고, 타인을 배려하는 친사회적 행동의 초기 형태를 자연스럽게 학습시킨다.",사회성,"Hay, D. F. (1979). Cooperative interactions between very young children. Child Development, 50(1), 246–252.",,,,
15,7,인형 역할 놀이,"인형 두 개를 꺼내 하나는 부모가, 하나는 아이가 갖는다. '안녕~'하며 인형끼리 인사시키고, 악수·포옹을 해보도록 유도한다.","역할 놀이를 통해 사회적 상호작용 시나리오를 연습하고, 타인의 입장을 인형에 투영하는 초기 조망 수용 능력을 자극한다.",사회성,"Fenson, L. et al. (2007). MacArthur-Bates Communicative Development Inventories, 2nd ed. Brookes Publishing.",,,,
15,5,거울 앞 감정 표현,"아이와 함께 거울 앞에 서서 '기쁜 얼굴~' '놀란 얼굴~' '슬픈 얼굴~'을 번갈아 지어 보인다. 아이가 따라 하면 '맞아, 이게 기쁜 얼굴이야!'라고 이름을 붙여준다.","자신의 표정을 시각적으로 인식하고 감정과 연결하는 자기 인식 능력을 키우며, 감정 표현의 다양성을 경험시킨다.",사회성,"Denham, S. A. (1998). Emotional Development in Young Children. Guilford Press.",,,,
15,6,친구 사진 보며 반응하기,또래 친구나 사촌 사진을 보여주며 'OO이네! 보고 싶다~' 하고 말한다. '손 흔들어볼까?' 하며 사진 속 친구에게 인사하도록 유도한다.,"또래에 대한 관심과 친밀감을 형성하고, 사진이라는 상징을 통해 부재한 타인을 인식하는 사회적 표상 능력을 발달시킨다.",사회성,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,,
15,6,첫 단어 유도하기,"공' 하고 천천히 말하며 공을 보여준다. 아이가 '고~' 같은 근사한 소리를 내면 '맞아, 공이야!'라고 반응한다. 멍멍이 그림으로도 반복한다.","첫 단어 발화를 촉진하고, 불완전한 발음도 적극 수용해 발화 시도 자체에 대한 긍정적 강화를 형성한다.",언어,CDC. (2023). Developmental Milestones: 15 Months. cdc.gov/ncbddd/actearly,,,,
15,5,사물 이름 듣고 보기,"방 안에 있는 물건(컵, 신발, 공 등)을 하나씩 말하며 '컵 어딨어?'라고 묻는다. 아이가 그 사물을 눈으로 찾거나 가리키면 '맞아, 컵이야!'라고 반응한다.","수용 어휘력(이해 단어 수)을 확장하고, 단어와 사물의 연결을 강화해 언어 이해의 기반을 다진다.",언어,American Speech-Language-Hearing Association (ASHA). (2024). Receptive Language Development in Toddlers. asha.org,,,,
15,6,손짓+말 지시 따르기,"손을 내밀며 '장난감 줘'라고 말한다. 아이가 건네면 '고마워!'라고 반응하고, 다시 돌려주며 '받아'라고 한다. 몸짓과 말을 함께 쓰는 지시를 3~4가지 반복한다.","몸짓과 언어를 동시에 처리하는 다중 단서 이해 능력을 키우고, 지시 수행을 통해 수용 언어와 사회적 협력 능력을 함께 발달시킨다.",언어,"Tomasello, M. (2003). Constructing a Language. Harvard University Press.",,,,
15,5,손가락 가리키기로 요청하기,아이가 원하는 물건을 손이 닿지 않는 곳에 둔다. 아이가 손가락으로 가리키면 '이거 갖고 싶어?'라고 말하고 건네준다. 말로도 표현하도록 기다려준다.,"손가락 가리키기를 의사소통 수단으로 강화하고, 요청 의도를 언어로 발전시키는 전언어적 소통 능력을 발달시킨다.",언어,"Bates, E. et al. (1979). The Emergence of Symbols. Academic Press; WHO. (2006). Child Development Milestones.",,,,
15,7,동물 이름 말해보기,"강아지·고양이·새 그림 카드를 하나씩 보여주며 '이게 뭐야?'라고 묻는다. 아이가 소리를 내면 '맞아, 멍멍이야!'라고 반응하고 동물 울음소리도 함께 말해준다.","명사 어휘를 확장하고, 그림-단어-소리를 연결하는 다중 감각 언어 학습을 통해 초기 어휘 습득 속도를 높인다.",언어,"Fenson, L. et al. (2007). MacArthur-Bates Communicative Development Inventories (CDIs), 2nd ed. Brookes Publishing.",,,,
15,6,그림책 가리키며 말하기,그림책을 펼쳐 '여기 뭐가 있어?'라고 묻고 아이가 가리키면 그 사물의 이름을 말해준다. 아이가 소리나 단어로 따라 하면 크게 칭찬한다. 3~4페이지 반복한다.,공동 주의 상황에서 어휘를 습득하는 공유 독서 효과를 활용해 어휘력과 언어 표현 동기를 동시에 키운다.,언어,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
15,5,네/아니오 표현 연습,"아이에게 좋아하는 것과 싫어하는 것을 번갈아 보여주며 '이거 먹을래?'라고 묻는다. 아이가 고개를 끄덕이거나 젓는 행동을 하면 '그렇구나, 좋아/싫어!'라고 언어로 반응해준다.","긍정·부정 의사를 몸짓과 소리로 표현하는 능력을 강화하고, 초기 의사소통 의도를 언어와 연결하는 기반을 형성한다.",언어,CDC. (2023). Developmental Milestones: 15 Months. cdc.gov/ncbddd/actearly,,,,
15,7,노래 속 단어 채우기,아이가 익숙한 동요(예: '곰 세 마리')를 부르다 핵심 단어 직전에 멈추고 기다린다. 아이가 소리를 내면 '맞아!'라고 반응하며 노래를 이어간다.,"예측 가능한 언어 패턴 안에서 자발적 발화를 유도하고, 음운 인식과 단어 회상 능력을 노래를 통해 즐겁게 발달시킨다.",언어,"Hallam, S. (2010). The power of music. International Journal of Music Education, 28(3), 269–289.",,,,
15,6,도움 요청 말로 표현하기,뚜껑이 단단히 닫힌 통을 아이에게 건넨다. 아이가 가리키거나 건네오면 '도와줄까? 도와줘~ 라고 말해봐'라고 유도한다. 말을 시도하면 즉시 도와준다.,"도움 요청이라는 사회적 의사소통 기능을 언어로 표현하도록 촉진하고, 언어가 환경을 바꿀 수 있다는 효능감을 형성한다.",언어,"Bruner, J. (1983). Child's Talk: Learning to Use Language. Oxford University Press.",,,,
15,5,이름 부르면 반응하기,"다른 방에서 아이 이름을 부르고 '여기야~' 하고 기다린다. 아이가 소리나 움직임으로 반응하면 '잘했어, 여기 있었구나!'라고 반응한다. 3회 반복한다.","자신의 이름에 반응하는 사회적 언어 인식을 강화하고, 호명 반응을 통해 언어적 주의 집중 능력을 발달시킨다.",언어,American Academy of Pediatrics. (2023). Language Development: 1 Year Olds. healthychildren.org,,,,
15,6,전화기 흉내내기,"장난감 전화기나 사용하지 않는 리모컨을 귀에 대고 '여보세요~'라고 말하며 시범을 보인다. 아이에게 건네고 똑같이해보도록 유도한다. 아이가 귀에 가져다 대면 '맞아, 전화받는 거야!'라고 반응한다.","사물의 기능적 용도를 이해하고 흉내 내는 기능적 놀이를 촉진하며, 실생활도구에 대한 개념적 이해를 발달시킨다.",인지,"Fenson, L. et al. (1976). Developmental trends in infant play. Child Development, 47(1), 232–236.",,,,
15,5,컵으로 마시는척하기,"빈 컵을 들고 '냠냠, 맛있다~'라며 마시는 시늉을 한다. 아이에게 빈 컵을 건네고 따라 해보도록 유도한다. 인형에게도 마시게 하는 흉내를 내도록 확장한다.","사물의 기능을 상징적으로 표현하는 상징 놀이의 초기 형태를 자극하고, 현실과 놀이를 연결하는 표상적 사고를 발달시킨다.",인지,"Piaget, J. (1962). Play, Dreams and Imitation in Childhood. Norton; Leslie, A. M. (1987). Pretense and representation. Psychological Review, 94(4), 412–426.",,,,
