"만 0~6세
- 몇 개월이면 앞에 0.을 붙이기
30,기본 색 인지 능력,,4,색 찾기 놀이,“빨간색 어디 있을까?”라고 물으며 주변에서 색을 찾게 하기,색을 구분하고 시각 정보를 인식하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
30,기본 색 인지 능력,,5,같은 색 모으기,같은 색의 장난감이나 물건들을 모아보게 하기,분류와 비교 능력이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
30,간단한 문제 해결 능력,,5,길 만들기 놀이,장난감이 지나갈 길을 막아두고 어떻게 지나갈지 함께 해결해보기,상황을 이해하고 해결 방법을 찾는 사고력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
30,2단계 지시 이해 및 수행 능력,,4,순서 따라 행동하기,“손 씻고 수건으로 닦자”처럼 간단한 순서를 말하고 따라하게 하기,순서를 기억하고 실행하는 인지 능력이 강화된다,"인지 (학습, 사고, 문제 해결)",,,,
30,손을 사용한 회전 및 조작 능력,,5,뚜껑 열기 놀이,다양한 통이나 병의 뚜껑을 직접 돌려서 열어보게 하기,손목 힘과 회전 조작 능력이 발달한다,움직임 / 신체발달,,,,
30,손을 사용한 회전 및 조작 능력,,4,문 열어보기,문 손잡이를 잡고 돌려 직접 열어보게 하기,손의 협응력과 방향 조절 능력이 향상된다,움직임 / 신체발달,,,,
30,손을 사용한 회전 및 조작 능력,,5,돌려서 맞추기 놀이,나사형 장난감이나 돌려서 끼우는 장난감을 활용해보기,정교한 손 움직임과 문제 해결 능력이 함께 발달한다,움직임 / 신체발달,,,,
30,스스로 옷을 벗는 자기 신체 조절 능력,,5,바지 벗기 도전,헐렁한 바지를 스스로 벗어보도록 유도하기,자기 몸을 조절하는 능력과 자립성이 향상된다,움직임 / 신체발달,,,,
30,스스로 옷을 벗는 자기 신체 조절 능력,,4,재킷 벗기 놀이,단추 없는 재킷이나 외투를 스스로 벗어보게 하기,팔과 어깨를 조절하는 움직임이 발달한다,움직임 / 신체발달,,,,
30,두 발로 점프하는 대근육 발달,,5,점프 따라하기,부모가 먼저 점프를 보여주고 아이가 따라하도록 유도하기,균형 감각과 하체 근력이 발달한다,움직임 / 신체발달,,,,
30,두 발로 점프하는 대근육 발달,,4,점프 착지 놀이,낮은 높이에서 두 발로 점프하고 안전하게 착지해보기,점프 후 균형 잡는 능력이 향상된다,움직임 / 신체발달,,,,
30,두 발로 점프하는 대근육 발달,,5,점프 목표 맞추기,바닥에 표시를 해두고 그 위치까지 점프해보기,거리 조절과 신체 조정 능력이 발달한다,움직임 / 신체발달,,,,
30,책 페이지를 한 장씩 넘기는 소근육 조절 능력,,4,한 장씩 넘기기,책을 읽으며 페이지를 한 장씩 직접 넘기게 하기,손가락 조절 능력과 집중력이 향상된다,움직임 / 신체발달,,,,
30,책 페이지를 한 장씩 넘기는 소근육 조절 능력,,5,넘기며 이야기하기,페이지를 넘길 때마다 간단한 이야기를 이어가며 읽어보기,손 조작과 언어 자극이 동시에 이루어진다,움직임 / 신체발달,,,,
36,분리 상황에서 감정을 조절하는 능력,,5,짧은 이별 연습하기,집 안에서 부모가 잠깐 다른 방으로 이동하고 “곧 다시 올게”라고 말한 후 다시 돌아오기,짧은 분리를 경험하며 불안감을 스스로 조절하는 능력이 자라난다,사회성 / 감정,,,,
36,분리 상황에서 감정을 조절하는 능력,,5,다시 만나는 약속하기,잠깐 떨어지기 전에 “이거 하고 다시 만나자”라고 약속하고 실행해보기,예측 가능한 이별 경험을 통해 안정감이 형성된다,사회성 / 감정,,,,
36,분리 상황에서 감정을 조절하는 능력,,4,작별 인사 루틴 만들기,"“안녕, 다녀올게”와 같은 간단한 인사 후 짧게 떨어져보기",반복되는 루틴을 통해 분리 상황에 대한 불안이 줄어든다,사회성 / 감정,,,,
36,분리 상황에서 감정을 조절하는 능력,,5,혼자 기다리기 연습,“여기서 잠깐 기다려줘”라고 말하고 짧은 시간 동안 혼자 있게 하기,부모 없이도 스스로 진정하는 경험이 쌓인다,사회성 / 감정,,,,
36,또래를 인식하고 함께 놀이하는 능력,,5,나란히 놀이하기,부모가 옆에서 같은 놀이를 하며 아이가 자연스럽게 따라하도록 유도하기,다른 사람과 같은 공간에서 활동하는 경험이 늘어난다,사회성 / 감정,,,,
36,또래를 인식하고 함께 놀이하는 능력,,5,번갈아 하기 놀이,블록 쌓기나 공 굴리기 등을 번갈아 가며 진행하기,타인과 상호작용하며 순서를 기다리는 경험이 생긴다,사회성 / 감정,,,,
36,또래를 인식하고 함께 놀이하는 능력,,6,같이 만들기 놀이,퍼즐이나 블록을 함께 완성하는 활동을 해보기,협력하며 하나의 목표를 이루는 경험이 쌓인다,사회성 / 감정,,,,
36,또래를 인식하고 함께 놀이하는 능력,,5,역할 놀이 시작하기,엄마-아이 역할을 나눠 간단한 상황극 놀이를 해보기,타인의 역할을 이해하며 사회적 상호작용이 발달한다,사회성 / 감정,,,,
36,또래를 인식하고 함께 놀이하는 능력,,5,친구 흉내내기 놀이,“친구는 이렇게 했대”라고 말하며 행동을 따라 해보기,또래 행동을 인식하고 모방하는 능력이 자라난다,사회성 / 감정,,,,
36,또래를 인식하고 함께 놀이하는 능력,,5,같이 정리하기,놀이 후 함께 장난감을 정리해보기,타인과 함께 행동을 마무리하는 사회적 경험이 형성된다,사회성 / 감정,,,,
36,주고받는 대화 능력,,5,두 번 이상 대화 이어가기,“오늘 뭐 했어?” → 아이 답 → “그래서 뭐 했어?”처럼 질문을 이어가기,대화를 주고받는 경험을 통해 언어 상호작용 능력이 발달한다,언어 / 소통,,,,
36,질문 생성 능력,,5,질문 유도하기,일부러 궁금한 상황을 만들고 “궁금한 거 없어?”라고 물어 질문을 유도하기,"“왜?”, “어디?” 같은 질문을 스스로 만들어보는 경험이 쌓인다",언어 / 소통,,,,
36,질문 생성 능력,,4,어디 있을까 찾기,물건을 숨기고 “어디 있을까?”라고 함께 말하며 찾기,‘어디’ 개념과 질문 형태의 언어 사용이 자연스럽게 발달한다,언어 / 소통,,,,
36,상황 설명 능력,,5,그림 속 행동 말하기,그림책을 보며 “이 사람 뭐 하고 있어?”라고 물어보기,행동을 관찰하고 언어로 설명하는 능력이 발달한다,언어 / 소통,,,,
36,상황 설명 능력,,5,오늘 일 이야기하기,하루 중 한 일을 떠올리며 “뭐 했어?”라고 물어 이야기하게 하기,경험을 언어로 정리하고 표현하는 능력이 자라난다,언어 / 소통,,,,
36,자기 정보 표현 능력,,3,이름 말하기 놀이,“너 이름이 뭐야?”라고 물어보고 답하도록 유도하기,자기 정보를 말로 표현하는 능력이 강화된다,언어 / 소통,,,,
36,자기 정보 표현 능력,,4,역할 질문 놀이,인형이나 부모가 질문을 하고 아이가 대답하는 역할 놀이 진행하기,질문-응답 구조 속에서 자기 표현이 자연스럽게 발달한다,언어 / 소통,,,,
36,타인이 이해할 수 있는 말하기 능력,,5,천천히 말해보기,아이가 말할 때 “천천히 다시 말해볼까?”라고 유도하기,또박또박 말하는 습관이 형성되어 전달력이 향상된다,언어 / 소통,,,,
36,타인이 이해할 수 있는 말하기 능력,,5,다시 말해주기,아이의 말을 부모가 한 번 더 정확히 말해주고 따라 하게 하기,올바른 문장 구조와 발음을 자연스럽게 익힌다,언어 / 소통,,,,
36,주고받는 대화 능력,,5,질문 주고받기 놀이,부모와 아이가 번갈아 질문하고 답하는 간단한 대화 놀이 진행하기,대화의 흐름을 이해하고 상호작용 능력이 강화된다,언어 / 소통,,,,
36,관찰 후 모방하여 그리는 능력,,5,동그라미 따라 그리기,부모가 동그라미를 그리는 모습을 보여주고 아이가 따라 그리게 하기,시각 정보를 손 움직임으로 옮기는 인지 및 소근육 협응력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
36,관찰 후 모방하여 그리는 능력,,5,따라 그리기 확장,동그라미를 그리고 그 안에 눈이나 입을 추가해 함께 완성해보기,단순 모방에서 확장된 표현으로 사고력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
36,관찰 후 모방하여 그리는 능력,,4,손으로 그려보기,종이 대신 공중이나 바닥에 손으로 동그라미를 그려보게 하기,움직임과 형태 인식이 연결되며 공간 감각이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
36,주의와 경고를 이해하는 능력,,4,멈춰요 신호 놀이,“멈춰!”라고 말하면 움직임을 멈추는 놀이를 반복하기,언어 신호를 이해하고 행동을 조절하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
36,주의와 경고를 이해하는 능력,,5,안전 구역 구분하기,“여기는 만지면 안 돼”라고 설명하고 특정 물건을 구분해보기,위험 상황을 인식하고 행동을 조절하는 능력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
36,주의와 경고를 이해하는 능력,,4,만지지 않기 연습,"특정 물건을 보여주고 “이건 보면 돼, 만지지 않기”라고 말하며 지켜보기",충동을 조절하고 규칙을 따르는 능력이 강화된다,"인지 (학습, 사고, 문제 해결)",,,,
36,주의와 경고를 이해하는 능력,,5,상황 설명 듣기,“이건 뜨거워서 만지면 아파”처럼 이유를 설명해주기,행동과 결과를 연결해 이해하는 사고력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
36,주의와 경고를 이해하는 능력,,4,규칙 선택하기,"“이건 만질까, 말까?”라고 물어보고 스스로 선택하게 하기",상황을 판단하고 적절한 행동을 선택하는 능력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
36,관찰 후 모방하여 그리는 능력,,5,모양 이어 그리기,동그라미를 이어 여러 개 그려보게 하기,반복을 통해 형태 인식과 손 조절 능력이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
36,주의와 경고를 이해하는 능력,,4,상황 역할 놀이,“뜨거운 곳에 손 대면 어떻게 될까?”와 같은 상황을 역할 놀이로 표현해보기,위험 상황을 예측하고 적절히 행동하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
36,소근육을 활용한 끼우기 및 조작 능력,,5,구슬 꿰기 놀이,큰 구슬이나 마카로니를 끈에 하나씩 꿰어보게 하기. 구슬이 없다면 빨대를 짧게 잘라 사용해도 좋아요,손가락 조절 능력과 눈-손 협응력이 발달한다,움직임 / 신체발달,,,,
36,소근육을 활용한 끼우기 및 조작 능력,,5,빨대 꿰기 놀이,짧게 자른 빨대를 끈에 끼워보게 하기,작은 구멍에 맞춰 끼우는 정교한 손 움직임이 향상된다,움직임 / 신체발달,,,,
36,소근육을 활용한 끼우기 및 조작 능력,,4,구멍 찾기 놀이,구멍이 있는 물건에 끈을 통과시키게 하기. 적당한 물건이 없다면 종이에 구멍을 뚫어 사용해도 좋아요,시각 탐색과 손 조작 능력이 함께 발달한다,움직임 / 신체발달,,,,
36,스스로 옷을 입는 자기 신체 조절 능력,,5,바지 혼자 입기,헐렁한 바지를 스스로 입어보도록 유도하기,하체 움직임과 자기 조절 능력이 향상된다,움직임 / 신체발달,,,,
36,스스로 옷을 입는 자기 신체 조절 능력,,5,재킷 입기 연습,단추 없는 재킷을 스스로 입어보게 하기,팔과 어깨를 조절하는 능력과 자립성이 발달한다,움직임 / 신체발달,,,,
36,스스로 옷을 입는 자기 신체 조절 능력,,4,옷 방향 맞추기,옷의 앞뒤를 구분해 올바르게 입어보게 하기,신체 인식과 공간 감각이 발달한다,움직임 / 신체발달,,,,
36,도구를 사용하는 식사 능력,,5,포크로 찍어 먹기,과일이나 음식 조각을 포크로 찍어 먹어보게 하기,손 힘 조절과 도구 사용 능력이 향상된다,움직임 / 신체발달,,,,
36,도구를 사용하는 식사 능력,,4,포크로 옮기기,접시에서 접시로 음식을 포크로 옮겨보게 하기,정교한 손 조절과 집중력이 발달한다,움직임 / 신체발달,,,,
36,도구를 사용하는 식사 능력,,5,식사 도구 선택하기,숟가락과 포크 중 상황에 맞게 선택해 사용해보기,상황 판단과 도구 활용 능력이 함께 발달한다,움직임 / 신체발달,,,,
36,소근육을 활용한 끼우기 및 조작 능력,,5,반복 꿰기 놀이,여러 개를 연속해서 끈에 꿰어보게 하기,손의 반복 조작 능력과 집중 지속 시간이 향상된다,움직임 / 신체발달,,,,
48,역할을 이해하고 흉내 내는 능력,,5,역할 놀이 해보기,"선생님, 의사, 슈퍼히어로 등 한 가지 역할을 정해 상황극 놀이를 해보기",타인의 역할을 이해하고 사회적 상호작용 능력이 발달한다,사회성 / 감정,,,,
48,역할을 이해하고 흉내 내는 능력,,5,상황 바꿔 연기하기,"같은 역할을 다른 상황(집, 병원, 학교)에서 어떻게 행동하는지 바꿔보기",상황에 따라 행동을 조절하는 능력이 자라난다,사회성 / 감정,,,,
48,또래와 관계를 형성하는 능력,,5,같이 놀자고 말하기,“같이 놀아도 될까?”라고 말하는 연습을 해보기,또래에게 먼저 다가가는 사회적 표현 능력이 발달한다,사회성 / 감정,,,,
48,또래와 관계를 형성하는 능력,,4,놀이 요청 역할 놀이,부모와 친구 역할을 나눠 놀이 참여를 요청하는 상황을 연습하기,실제 상황에서 사용할 수 있는 사회적 표현이 자연스럽게 익혀진다,사회성 / 감정,,,,
48,타인의 감정을 이해하고 공감하는 능력,,5,감정 공감하기,인형이나 상황을 통해 “이 친구 왜 울까?”라고 물어보고 반응해보기,타인의 감정을 이해하고 공감하는 능력이 발달한다,사회성 / 감정,,,,
48,타인의 감정을 이해하고 공감하는 능력,,4,위로 말하기 연습,"“괜찮아?”, “같이 놀자” 같은 위로 표현을 말해보기",공감 표현을 행동으로 연결하는 능력이 자라난다,사회성 / 감정,,,,
48,위험 상황을 인지하고 행동을 조절하는 능력,,5,안전 선택하기,"“여기서 뛰어내릴까, 내려올까?”와 같이 상황을 주고 선택하게 하기",위험을 판단하고 안전한 행동을 선택하는 능력이 발달한다,사회성 / 감정,,,,
48,도움 행동을 수행하는 능력,,5,도와주기 미션,"간단한 집안일(물건 가져오기, 정리 등)을 도와보게 하기",타인을 돕는 행동을 통해 사회적 책임감이 자라난다,사회성 / 감정,,,,
48,도움 행동을 수행하는 능력,,4,역할 맡기기,“오늘은 네가 도우미야”라고 역할을 주고 행동하게 하기,역할을 수행하는 경험을 통해 자존감과 책임감이 향상된다,사회성 / 감정,,,,
48,상황에 맞게 행동을 조절하는 능력,,5,장소별 행동 바꾸기,“도서관에서는 어떻게 할까?”처럼 장소에 따라 행동을 말하고 따라해보기,상황에 맞는 행동 규칙을 이해하고 적용하는 능력이 발달한다,사회성 / 감정,,,,
48,4단어 이상의 문장 표현 능력,,5,긴 문장 말해보기,“오늘 뭐 했어?”라고 묻고 4단어 이상으로 말하도록 유도하기,문장을 확장해 말하는 능력이 발달한다,언어 / 소통,,,,
48,4단어 이상의 문장 표현 능력,,5,문장 이어 말하기,부모가 “나는 공원에 갔어”라고 말하면 이어서 문장을 덧붙이게 하기,문장을 연결하고 확장하는 언어 능력이 자라난다,언어 / 소통,,,,
48,노래와 이야기 재현 능력,,5,노래 따라 부르기,익숙한 동요를 함께 부르고 일부 구간을 아이가 이어 부르게 하기,기억력과 언어 리듬 감각이 발달한다,언어 / 소통,,,,
48,노래와 이야기 재현 능력,,5,이야기 따라 말하기,짧은 이야기를 들려주고 기억나는 부분을 말하게 하기,듣고 기억한 내용을 말로 재현하는 능력이 향상된다,언어 / 소통,,,,
48,하루 경험을 이야기하는 능력,,5,오늘 있었던 일 말하기,“오늘 가장 재미있었던 일은 뭐야?”라고 물어 이야기하게 하기,경험을 정리하고 말로 표현하는 능력이 자라난다,언어 / 소통,,,,
48,하루 경험을 이야기하는 능력,,5,순서대로 이야기하기,“먼저 뭐 했어? 그 다음은?”처럼 순서를 물으며 이야기하게 하기,사건을 순서대로 정리하는 사고력과 언어 능력이 발달한다,언어 / 소통,,,,
48,이유를 설명하는 능력,,5,왜 필요할까 묻기,“이건 왜 필요할까?”라고 질문하고 이유를 말하게 하기,원인과 목적을 연결해 생각하는 능력이 발달한다,언어 / 소통,,,,
48,이유를 설명하는 능력,,5,상황 이유 설명하기,“왜 신발을 신어야 할까?”처럼 일상 상황의 이유를 물어보기,일상 경험을 바탕으로 논리적 설명 능력이 자라난다,언어 / 소통,,,,
48,4단어 이상의 문장 표현 능력,,4,문장 길게 말해보기,아이가 짧게 말하면 “조금 더 길게 말해볼까?”라고 유도하기,문장을 확장하는 습관이 형성된다,언어 / 소통,,,,
48,노래와 이야기 재현 능력,,4,동요 빈칸 채우기,노래 중간을 멈추고 다음 단어를 아이가 말하게 하기,기억력과 언어 예측 능력이 향상된다,언어 / 소통,,,,
48,물건의 색을 구분하고 말하는 능력,,5,색 이름 말하기,주변 물건을 가리키며 “이건 무슨 색이야?”라고 물어보기,색을 인식하고 언어로 표현하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
48,물건의 색을 구분하고 말하는 능력,,5,같은 색 찾기,특정 색을 말하고 같은 색 물건을 찾아보게 하기,색 분류 능력과 관찰력이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
48,물건의 색을 구분하고 말하는 능력,,4,색 비교하기,두 물건을 보여주고 색이 같은지 다른지 말해보게 하기,색을 비교하고 구분하는 인지 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
48,이야기의 흐름을 이해하고 예측하는 능력,,5,다음 이야기 맞추기,익숙한 이야기를 읽다가 중간에 멈추고 다음 내용을 말해보게 하기,이야기 구조를 이해하고 예측하는 사고력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
48,이야기의 흐름을 이해하고 예측하는 능력,,5,이어서 이야기 만들기,부모가 이야기의 일부를 말하면 이어서 다음 내용을 상상해 말해보기,상상력과 이야기 구성 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
48,이야기의 흐름을 이해하고 예측하는 능력,,5,끝을 바꿔보기,익숙한 이야기의 결말을 다르게 만들어보게 하기,이야기 구조를 이해하고 변형하는 사고력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
48,사람의 구조를 인식하고 표현하는 능력,,5,사람 그리기,"머리, 몸, 팔, 다리가 포함된 사람을 그려보게 하기",신체 구조를 이해하고 표현하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
48,사람의 구조를 인식하고 표현하는 능력,,5,신체 부위 추가하기,"사람 그림에 눈, 코, 입 등 신체 부위를 더 그려보게 하기",세부 구조를 인식하고 표현하는 능력이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
48,사람의 구조를 인식하고 표현하는 능력,,4,몸 이름 말하기,그림이나 자신의 몸을 보며 신체 부위 이름을 말해보기,신체 인식과 언어 연결 능력이 강화된다,"인지 (학습, 사고, 문제 해결)",,,,
48,이야기의 흐름을 이해하고 예측하는 능력,,5,장면 순서 맞추기,이야기 장면을 순서대로 나열하고 다음에 올 장면을 예측해보기,사건의 흐름을 이해하고 논리적으로 사고하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
48,공을 잡는 대근육 협응 능력,,5,공 던지고 받기,부모가 큰 공을 던지면 아이가 두 손으로 잡아보게 하기,눈과 손의 협응력과 반응 속도가 발달한다,움직임 / 신체발달,,,,
48,공을 잡는 대근육 협응 능력,,5,바운드 공 받기,바닥에 튕긴 공을 잡아보게 하기,공의 움직임을 예측하고 반응하는 능력이 향상된다,움직임 / 신체발달,,,,
48,공을 잡는 대근육 협응 능력,,4,공 굴려서 잡기,공을 굴려 보내고 아이가 잡도록 유도하기,움직이는 물체를 따라가는 시각-운동 협응력이 발달한다,움직임 / 신체발달,,,,
48,스스로 먹고 따르는 자립 행동,,5,물 따르기 연습,작은 컵에 물을 직접 따라보게 하기,손 힘 조절과 일상 자립 능력이 향상된다,움직임 / 신체발달,,,,
48,스스로 먹고 따르는 자립 행동,,5,간식 스스로 준비하기,간단한 간식을 접시에 담아 직접 먹어보게 하기,스스로 준비하고 먹는 자립 행동이 발달한다,움직임 / 신체발달,,,,
48,스스로 먹고 따르는 자립 행동,,4,음료 옮기기,컵을 들고 흘리지 않게 이동해보기,균형 감각과 손 조절 능력이 향상된다,움직임 / 신체발달,,,,
48,단추를 푸는 손가락 조작 능력,,5,단추 풀기 연습,옷이나 천에 있는 단추를 직접 풀어보게 하기,손가락 힘과 정교한 조작 능력이 발달한다,움직임 / 신체발달,,,,
48,단추를 푸는 손가락 조작 능력,,4,천천히 단추 풀기,하나씩 순서대로 단추를 풀어보게 하기,집중력과 순차적 손 움직임이 향상된다,움직임 / 신체발달,,,,
48,엄지와 손가락을 사용하는 정교한 잡기 능력,,5,연필 잡고 그리기,엄지와 손가락으로 연필을 잡고 자유롭게 그려보게 하기,올바른 필기 자세와 소근육 발달이 이루어진다,움직임 / 신체발달,,,,
48,엄지와 손가락을 사용하는 정교한 잡기 능력,,5,선 따라 그리기,간단한 선을 따라 그리게 하기,손 조절 능력과 시각-운동 협응력이 향상된다,움직임 / 신체발달,,,,
60,규칙을 이해하고 차례를 지키는 능력,,6,차례 지키기 게임,간단한 보드게임이나 카드 게임을 하며 번갈아 차례를 지키게 하기,규칙을 이해하고 순서를 기다리는 사회적 조절 능력이 발달한다,사회성 / 감정,,,,
60,규칙을 이해하고 차례를 지키는 능력,,5,번갈아 행동하기,공 던지기나 블록 쌓기를 번갈아 가며 진행하기,타인과의 상호작용 속에서 순서를 지키는 경험이 쌓인다,사회성 / 감정,,,,
60,규칙을 이해하고 차례를 지키는 능력,,5,간단한 규칙 만들기,놀이 전에 “이건 이렇게 하자”와 같은 규칙을 함께 정하고 지켜보기,규칙을 이해하고 따르는 능력이 강화된다,사회성 / 감정,,,,
